,Date,Spot Price
0,2015-01-02,53.44
1,2015-01-09,48.77
2,2015-01-16,47.07
3,2015-01-23,46.46
4,2015-01-30,45.32
5,2015-02-06,50.58
6,2015-02-13,51.14
7,2015-02-20,51.69
8,2015-02-27,49.16
9,2015-03-06,50.38
10,2015-03-13,47.69
11,2015-03-20,44.39
12,2015-03-27,48.68
13,2015-04-03,48.91
14,2015-04-10,51.78
15,2015-04-17,54.78
16,2015-04-24,56.14
17,2015-05-01,57.98
18,2015-05-08,59.73
19,2015-05-15,60.01
20,2015-05-22,58.95
21,2015-05-29,58.19
22,2015-06-05,59.66
23,2015-06-12,60.07
24,2015-06-19,59.89
25,2015-06-26,60.01
26,2015-07-03,57.92
27,2015-07-10,52.38
28,2015-07-17,51.68
29,2015-07-24,49.21
30,2015-07-31,47.91
31,2015-08-07,44.94
32,2015-08-14,43.2
33,2015-08-21,41.34
34,2015-08-28,40.73
35,2015-09-04,46.73
36,2015-09-11,45.16
37,2015-09-18,45.48
38,2015-09-25,45.57
39,2015-10-02,45.0
40,2015-10-09,48.36
41,2015-10-16,46.82
42,2015-10-23,45.16
43,2015-10-30,44.99
44,2015-11-06,45.98
45,2015-11-13,42.7
46,2015-11-20,40.62
47,2015-11-27,40.49
48,2015-12-04,40.4
49,2015-12-11,36.93
50,2015-12-18,35.78
51,2015-12-25,36.26
52,2016-01-01,36.99
53,2016-01-08,34.65
54,2016-01-15,30.59
55,2016-01-22,29.19
56,2016-01-29,31.81
57,2016-02-05,31.26
58,2016-02-12,28.14
59,2016-02-19,30.02
60,2016-02-26,31.32
61,2016-03-04,34.43
62,2016-03-11,37.69
63,2016-03-18,38.32
64,2016-03-25,39.45
65,2016-04-01,36.82
66,2016-04-08,36.72
67,2016-04-15,41.23
68,2016-04-22,41.86
69,2016-04-29,44.3
70,2016-05-06,44.22
71,2016-05-13,45.44
72,2016-05-20,47.99
73,2016-05-27,48.72
74,2016-06-03,49.0
75,2016-06-10,50.18
76,2016-06-17,47.89
77,2016-06-24,48.71
78,2016-07-01,48.17
79,2016-07-08,46.17
80,2016-07-15,45.6
81,2016-07-22,44.44
82,2016-07-29,41.83
83,2016-08-05,40.82
84,2016-08-12,43.11
85,2016-08-19,47.16
86,2016-08-26,47.05
87,2016-09-02,45.11
88,2016-09-09,45.96
89,2016-09-16,44.34
90,2016-09-23,44.59
91,2016-09-30,46.55
92,2016-10-07,49.48
93,2016-10-14,50.29
94,2016-10-21,50.56
95,2016-10-28,49.36
96,2016-11-04,45.51
97,2016-11-11,44.61
98,2016-11-18,45.15
99,2016-11-25,47.25
100,2016-12-02,48.63
101,2016-12-09,50.97
102,2016-12-16,51.91
103,2016-12-23,51.95
104,2016-12-30,53.6
105,2017-01-06,53.34
106,2017-01-13,52.07
107,2017-01-20,51.82
108,2017-01-27,52.74
109,2017-02-03,53.33
110,2017-02-10,52.88
111,2017-02-17,53.22
112,2017-02-24,54.03
113,2017-03-03,53.56
114,2017-03-10,50.5
115,2017-03-17,48.03
116,2017-03-24,47.28
117,2017-03-31,49.14
118,2017-04-07,51.26
119,2017-04-14,53.19
120,2017-04-21,51.09
121,2017-04-28,49.12
122,2017-05-05,47.21
123,2017-05-12,47.04
124,2017-05-19,49.24
125,2017-05-26,50.21
126,2017-06-02,48.48
127,2017-06-09,46.57
128,2017-06-16,45.3
129,2017-06-23,43.09
130,2017-06-30,44.63
131,2017-07-07,44.96
132,2017-07-14,45.51
133,2017-07-21,46.41
134,2017-07-28,48.27
135,2017-08-04,49.52
136,2017-08-11,49.08
137,2017-08-18,47.52
138,2017-08-25,47.68
139,2017-09-01,46.68
140,2017-09-08,48.58
141,2017-09-15,49.07
142,2017-09-22,50.12
143,2017-09-29,51.77
144,2017-10-06,50.23
145,2017-10-13,50.77
146,2017-10-20,51.74
147,2017-10-27,52.51
148,2017-11-03,54.59
149,2017-11-10,57.05
150,2017-11-17,55.81
151,2017-11-24,57.47
152,2017-12-01,57.81
153,2017-12-08,56.92
154,2017-12-15,57.17
155,2017-12-22,57.87
156,2017-12-29,59.88
157,2018-01-05,61.36
158,2018-01-12,63.26
159,2018-01-19,63.77
160,2018-01-26,65.14
161,2018-02-02,65.32
162,2018-02-09,62.01
163,2018-02-16,60.56
164,2018-02-23,62.47
165,2018-03-02,62.07
166,2018-03-09,61.65
167,2018-03-16,61.28
168,2018-03-23,64.11
169,2018-03-30,64.97
170,2018-04-06,63.07
171,2018-04-13,66.02
172,2018-04-20,67.55
173,2018-04-27,67.91
174,2018-05-04,68.38
175,2018-05-11,70.56
176,2018-05-18,71.3
177,2018-05-25,70.98
178,2018-06-01,66.96
179,2018-06-08,65.35
180,2018-06-15,66.21
181,2018-06-22,66.32
182,2018-06-29,74.03
183,2018-07-06,73.73
184,2018-07-13,71.96
185,2018-07-20,68.95
186,2018-07-27,70.01
187,2018-08-03,69.46
188,2018-08-10,67.9
189,2018-08-17,66.15
190,2018-08-24,68.1
191,2018-08-31,69.66
192,2018-09-07,68.51
193,2018-09-14,68.96
194,2018-09-21,70.28
195,2018-09-28,72.84
196,2018-10-05,75.13
197,2018-10-12,72.96
198,2018-10-19,70.24
199,2018-10-26,67.43
200,2018-11-02,65.06
201,2018-11-09,61.57
202,2018-11-16,56.92
203,2018-11-23,54.99
204,2018-11-30,51.01
205,2018-12-07,52.63
206,2018-12-14,51.54
207,2018-12-21,46.98
208,2018-12-28,45.22
